Country,Forecast,GDP,Area,Value
North Korea,—,16750.0,120540.0,2.019045
Nicaragua,17287,14013.0,130373.0,1.826916849
Kyrgyzstan,12309,8741.0,199951.0,1.747771691
Guyana,16309,8044.0,214969.0,1.7292106360000001
Estonia,41551,37191.0,45227.0,1.682037357
Central African Republic,2736,2518.0,622984.0,1.568673712
Malawi,11277,12199.0,118484.0,1.445386316
Georgia,27947,18696.0,69700.0,1.3031112
Slovenia,68108,61749.0,20273.0,1.251837477
Tajikistan,12796,8746.0,143100.0,1.2515526000000001
Bosnia and Herzegovina,28488,23365.0,51209.0,1.196498285
El Salvador,33752,28737.0,21041.0,0.604655217
Haiti,26580,19044.0,27750.0,0.528471
Suriname,3470,3224.0,163820.0,0.52815568
Albania,20177,18260.0,28748.0,0.52493848
Togo,9001,8160.0,56785.0,0.46336560000000004
Moldova,15829,13680.0,33846.0,0.46301328
Armenia,23725,13861.0,29743.0,0.41226772300000003
Lebanon,—,37945.0,10452.0,0.39660114
North Macedonia,15278,13881.0,25713.0,0.356922153
Equatorial Guinea,15099,12431.0,28051.0,0.348701981
Sierra Leone,3520,4249.0,71740.0,0.30482326000000004
Rwanda,13149,11070.0,26338.0,0.29156166
Singapore,515548,396992.0,728.0,0.289010176
Eritrea,2666,2255.0,125000.0,0.28187500000000004
Liberia,4375,2445.0,111369.0,0.27229720500000004
Cyprus,30864,28408.0,9251.0,0.26280240800000004
Luxembourg,86971,85506.0,2586.0,0.22111851600000001
Jamaica,17254,14658.0,10991.0,0.161106078
The Bahamas,14114,11209.0,13943.0,0.15628708700000002
Trinidad and Tobago,28223,24460.0,5130.0,0.1254798
Palestine,19206,18037.0,6220.0,0.11219014000000001
Burundi,3234,3900.0,27834.0,0.10855260000000001
Kosovo,9990,9412.0,10887.0,0.102468444
Bhutan,2683,2381.0,38394.0,0.091416114
Djibouti,3916,3701.0,23200.0,0.0858632
Eswatini,4824,4732.0,17364.0,0.082166448
Brunei,15988,14006.0,5765.0,0.08074459
Montenegro,7027,5809.0,13812.0,0.080233908
Fiji,5385,4296.0,18272.0,0.078496512
Lesotho,2584,2373.0,30355.0,0.072032415
Belize,3162,2492.0,22966.0,0.05723127200000001
Guinea-Bissau,1887,1563.0,36125.0,0.056463375
Solomon Islands,1701,1632.0,28896.0,0.047158272
Bahrain,44870,38869.0,786.0,0.030551034
East Timor,1988,2004.0,14919.0,0.029897676
Mauritius,14570,11525.0,2040.0,0.023511
The Gambia,2277,2038.0,11295.0,0.023019210000000002
Vanuatu,1064,981.0,12189.0,0.011957409
Cape Verde,2468,1936.0,4033.0,0.007807888000000001
Malta,19405,17721.0,316.0,0.005599836
Comoros,1348,1340.0,1862.0,0.00249508
Samoa,898,857.0,2842.0,0.002435594
Barbados,6117,4844.0,431.0,0.002087764
Maldives,7004,5406.0,300.0,0.0016218
Andorra,3669,3325.0,468.0,0.0015561000000000001
Saint Lucia,2262,1765.0,616.0,0.0010872400000000002
Liechtenstein,—,6608.0,160.0,0.00105728
Antigua and Barbuda,1864,1421.0,442.0,0.0006280820000000001
Seychelles,1950,1287.0,452.0,0.000581724
São Tomé and Príncipe,625,555.0,964.0,0.00053502
Dominica,681,548.0,751.0,0.000411548
Grenada,1274,1115.0,344.0,0.00038356
Tonga,541,472.0,747.0,0.000352584
Saint Vincent and the Grenadines,1039,881.0,389.0,0.000342709
Micronesia,456,404.0,702.0,0.000283608
Saint Kitts and Nevis,1052,861.0,261.0,0.00022472100000000002
Kiribati,248,227.0,811.0,0.000184097
San Marino,1807,1702.0,61.0,0.00010382200000000001
Palau,262,218.0,459.0,0.000100062
Cook Islands,—,328.0,236.0,7.7408e-05
Marshall Islands,291,257.0,181.0,4.6517e-05
Monaco,—,8596.0,2.0,1.7192e-05
Nauru,151,155.0,21.0,3.255e-06
Tuvalu,65,60.0,26.0,1.56e-06
